strain	strain_id	chr	het	hom	nocall	call	n_loci	call_rate
BXD014	10	chr18	422	106113	3	106535	106538	0.9999718410332463
BXD014	10	chr19	63	136725	3	136788	136791	0.9999780687325921
BXD014	10	chr2	1243	372354	20	373597	373617	0.9999464692452431
BXD014	10	chr3	1245	318538	16	319783	319799	0.9999499685740105
BXD014	10	chr4	7765	286709	117	294474	294591	0.9996028391906067
BXD014	10	chr5	950	227375	17	228325	228342	0.9999255502710847
BXD014	10	chr6	439	245989	18	246428	246446	0.9999269616873473
BXD014	10	chr7	2877	349070	19	351947	351966	0.9999460175130552
BXD014	10	chr8	487	315226	14	315713	315727	0.9999556578943201
BXD014	10	chr9	567	212093	10	212660	212670	0.9999529787934358
BXD015	11	chr1	2865	487645	18	490510	490528	0.999963304847022
BXD015	11	chr10	232	168861	14	169093	169107	0.9999172121792711
BXD015	11	chr11	792	269471	7	270263	270270	0.9999740999741
BXD015	11	chr12	502	217170	12	217672	217684	0.9999448742213484
BXD015	11	chr13	790	176294	15	177084	177099	0.9999153016109633
BXD015	11	chr14	2309	363083	32	365392	365424	0.9999124304917028
BXD015	11	chr15	253	150147	8	150400	150408	0.9999468113398223
BXD015	11	chr16	800	132119	10	132919	132929	0.9999247718706978
BXD015	11	chr17	114	209615	23	209729	209752	0.9998903466951448
BXD015	11	chr18	796	105732	10	106528	106538	0.9999061367774879
BXD015	11	chr19	82	136705	4	136787	136791	0.9999707583101227
BXD015	11	chr2	610	372979	28	373589	373617	0.9999250569433403
BXD015	11	chr3	1404	318379	16	319783	319799	0.9999499685740105
BXD015	11	chr4	7997	286445	149	294442	294591	0.9994942140119691
BXD015	11	chr5	157	228173	12	228330	228342	0.9999474472501774
BXD015	11	chr6	2055	244371	20	246426	246446	0.9999188463192749
BXD015	11	chr7	1958	349983	25	351941	351966	0.9999289704119148
BXD015	11	chr8	187	315522	18	315709	315727	0.9999429887212687
BXD015	11	chr9	67	212595	8	212662	212670	0.9999623830347487
BXD016	12	chr1	1359	489147	22	490506	490528	0.9999551503685824
BXD016	12	chr10	644	168450	13	169094	169107	0.9999231255950375
BXD016	12	chr11	433	269828	9	270261	270270	0.9999666999667
BXD016	12	chr12	241	217433	10	217674	217684	0.9999540618511237
BXD016	12	chr13	1282	175803	14	177085	177099	0.9999209481702325
BXD016	12	chr14	1772	363633	19	365405	365424	0.9999480056044485
BXD016	12	chr15	60	150346	2	150406	150408	0.9999867028349556
BXD016	12	chr16	693	132225	11	132918	132929	0.9999172490577677
BXD016	12	chr17	2420	207310	22	209730	209752	0.9998951142301384
BXD016	12	chr18	590	105940	8	106530	106538	0.9999249094219903
BXD016	12	chr19	198	136588	5	136786	136791	0.9999634478876535
BXD016	12	chr2	1459	372126	32	373585	373617	0.999914350792389
BXD016	12	chr3	165	319619	15	319784	319799	0.9999530955381349
BXD016	12	chr4	7472	286960	159	294432	294591	0.9994602686436449
BXD016	12	chr5	2018	226294	30	228312	228342	0.9998686181254434
BXD016	12	chr6	196	246235	15	246431	246446	0.9999391347394561
BXD016	12	chr7	142	351813	11	351955	351966	0.9999687469812425
BXD016	12	chr8	2291	313420	16	315711	315727	0.9999493233077944
BXD016	12	chr9	1207	211454	9	212661	212670	0.9999576809140922
BXD018	13	chr1	1859	488646	23	490505	490528	0.9999531117489725
BXD018	13	chr10	1236	167865	6	169101	169107	0.9999645195054019
BXD018	13	chr11	529	269733	8	270262	270270	0.9999703999703999
BXD018	13	chr12	225	217447	12	217672	217684	0.9999448742213484
BXD018	13	chr13	385	176708	6	177093	177099	0.9999661206443854
BXD018	13	chr14	1791	363612	21	365403	365424	0.99994253251018
BXD018	13	chr15	1198	149203	7	150401	150408	0.9999534599223445
BXD018	13	chr16	266	132650	13	132916	132929	0.9999022034319073
BXD018	13	chr17	3375	206355	22	209730	209752	0.9998951142301384
BXD018	13	chr18	705	105823	10	106528	106538	0.9999061367774879
BXD018	13	chr19	61	136726	4	136787	136791	0.9999707583101227
BXD018	13	chr2	1953	371636	28	373589	373617	0.9999250569433403
BXD018	13	chr3	1945	317839	15	319784	319799	0.9999530955381349
BXD018	13	chr4	7967	286467	157	294434	294591	0.9994670577173098
BXD018	13	chr5	800	227529	13	228329	228342	0.9999430678543588
BXD018	13	chr6	759	245678	9	246437	246446	0.9999634808436737
BXD018	13	chr7	1179	350772	15	351951	351966	0.9999573822471489
BXD018	13	chr8	2383	313322	22	315705	315727	0.9999303195482173
BXD018	13	chr9	1593	211068	9	212661	212670	0.9999576809140922
BXD019	14	chr1	1281	489225	22	490506	490528	0.9999551503685824
BXD019	14	chr10	581	168507	19	169088	169107	0.9998876451004394
BXD019	14	chr11	790	269469	11	270259	270270	0.9999592999593
BXD019	14	chr12	297	217371	16	217668	217684	0.9999264989617979
BXD019	14	chr13	372	176715	12	177087	177099	0.9999322412887707
BXD019	14	chr14	2765	362628	31	365393	365424	0.9999151670388371
BXD019	14	chr15	301	150101	6	150402	150408	0.9999601085048667
BXD019	14	chr16	931	131993	5	132924	132929	0.9999623859353489
BXD019	14	chr17	83	209651	18	209734	209752	0.9999141843701133
BXD019	14	chr18	43	106488	7	106531	106538	0.9999342957442415
BXD019	14	chr19	497	136290	4	136787	136791	0.9999707583101227
BXD019	14	chr2	2260	371325	32	373585	373617	0.999914350792389
BXD019	14	chr3	1776	317999	24	319775	319799	0.9999249528610158
BXD019	14	chr4	7399	287075	117	294474	294591	0.9996028391906067
BXD019	14	chr5	1305	227019	18	228324	228342	0.999921170875266
BXD019	14	chr6	2468	243952	26	246420	246446	0.9998945002150572
BXD019	14	chr7	233	351723	10	351956	351966	0.999971588164766
BXD019	14	chr8	1253	314459	15	315712	315727	0.9999524906010573
BXD019	14	chr9	945	211718	7	212663	212670	0.9999670851554051
BXD020	15	chr1	4079	486424	25	490503	490528	0.9999490345097528
BXD020	15	chr10	462	168637	8	169099	169107	0.9999526926738692
BXD020	15	chr11	2450	267813	7	270263	270270	0.9999740999741
BXD020	15	chr12	869	216804	11	217673	217684	0.999949468036236
BXD020	15	chr13	2943	174150	6	177093	177099	0.9999661206443854
BXD020	15	chr14	439	364974	11	365413	365424	0.9999698979815228
BXD020	15	chr15	564	149839	5	150403	150408	0.9999667570873889
BXD020	15	chr16	1237	131682	10	132919	132929	0.9999247718706978
BXD020	15	chr17	1625	208114	13	209739	209752	0.9999380220450819
BXD020	15	chr18	928	105599	11	106527	106538	0.9998967504552366
BXD020	15	chr19	1439	135341	11	136780	136791	0.9999195853528375
BXD020	15	chr2	5115	368475	27	373590	373617	0.9999277334810782
BXD020	15	chr3	1328	318454	17	319782	319799	0.9999468416098862
BXD020	15	chr4	458	294119	14	294577	294591	0.999952476484346
BXD020	15	chr5	2017	226300	25	228317	228342	0.9998905151045362
BXD020	15	chr6	136	246291	19	246427	246446	0.9999229040033111
BXD020	15	chr7	851	351107	8	351958	351966	0.9999772705318127
BXD020	15	chr8	1349	314361	17	315710	315727	0.9999461560145315
BXD020	15	chr9	1074	211592	4	212666	212670	0.9999811915173743
BXD021	16	chr1	1235	489271	22	490506	490528	0.9999551503685824
BXD021	16	chr10	854	168241	12	169095	169107	0.9999290390108038
BXD021	16	chr11	564	269700	6	270264	270270	0.9999777999778
BXD021	16	chr12	347	217326	11	217673	217684	0.999949468036236
BXD021	16	chr13	1208	175877	14	177085	177099	0.9999209481702325
BXD021	16	chr14	891	364513	20	365404	365424	0.9999452690573143
BXD021	16	chr15	1158	149240	10	150398	150408	0.9999335141747779
BXD021	16	chr16	340	132581	8	132921	132929	0.9999398174965584
BXD021	16	chr17	2622	207100	30	209722	209752	0.9998569739501888
BXD021	16	chr18	175	106352	11	106527	106538	0.9998967504552366
BXD021	16	chr19	300	136487	4	136787	136791	0.9999707583101227
BXD021	16	chr2	2938	370649	30	373587	373617	0.9999197038678647
BXD021	16	chr3	2282	317499	18	319781	319799	0.9999437146457618
BXD021	16	chr4	8336	286098	157	294434	294591	0.9994670577173098
BXD021	16	chr5	1746	226576	20	228322	228342	0.9999124120836289
BXD021	16	chr6	678	245757	11	246435	246446	0.9999553654756012
BXD021	16	chr7	147	351810	9	351957	351966	0.9999744293482893
BXD021	16	chr8	726	314983	18	315709	315727	0.9999429887212687
BXD021	16	chr9	1635	211028	7	212663	212670	0.9999670851554051
BXD022	17	chr1	3137	487366	25	490503	490528	0.9999490345097528
BXD022	17	chr10	85	169016	6	169101	169107	0.9999645195054019
BXD022	17	chr11	292	269968	10	270260	270270	0.999962999963
BXD022	17	chr12	442	217229	13	217671	217684	0.9999402804064608
BXD022	17	chr13	358	176729	12	177087	177099	0.9999322412887707
BXD022	17	chr14	817	364578	29	365395	365424	0.9999206401331057
BXD022	17	chr15	267	150130	11	150397	150408	0.9999268655922557
BXD022	17	chr16	113	132806	10	132919	132929	0.9999247718706978
BXD022	17	chr17	3120	206599	33	209719	209752	0.9998426713452077
BXD022	17	chr18	851	105680	7	106531	106538	0.9999342957442415
BXD022	17	chr19	60	136728	3	136788	136791	0.9999780687325921
BXD022	17	chr2	365	373224	28	373589	373617	0.9999250569433403
BXD022	17	chr3	1263	318525	11	319788	319799	0.9999656033946323
BXD022	17	chr4	7582	286851	158	294433	294591	0.9994636631804773
BXD022	17	chr5	1683	226624	35	228307	228342	0.9998467211463506
BXD022	17	chr6	799	245629	18	246428	246446	0.9999269616873473
BXD022	17	chr7	1776	350172	18	351948	351966	0.9999488586965787
BXD022	17	chr8	1664	314042	21	315706	315727	0.9999334868414801
BXD022	17	chr9	1253	211408	9	212661	212670	0.9999576809140922
BXD024_cep	19	chr1	2953	487547	28	490500	490528	0.9999429186509231
BXD024_cep	19	chr10	736	168355	16	169091	169107	0.9999053853477384
BXD024_cep	19	chr11	319	269947	4	270266	270270	0.9999851999852
BXD024_cep	19	chr12	633	217039	12	217672	217684	0.9999448742213484
BXD024_cep	19	chr13	1193	175897	9	177090	177099	0.999949180966578
BXD024_cep	19	chr14	1035	364365	24	365400	365424	0.999934322868777
BXD024_cep	19	chr15	951	149449	8	150400	150408	0.9999468113398223
BXD024_cep	19	chr16	940	131979	10	132919	132929	0.9999247718706978
BXD024_cep	19	chr17	3232	206501	19	209733	209752	0.9999094168351196
BXD024_cep	19	chr18	570	105956	12	106526	106538	0.9998873641329854
BXD024_cep	19	chr19	207	136571	13	136778	136791	0.9999049645078989
BXD024_cep	19	chr2	2383	371200	34	373583	373617	0.9999089977169133
BXD024_cep	19	chr3	150	319642	7	319792	319799	0.9999781112511296
BXD024_cep	19	chr4	1075	293504	12	294579	294591	0.999959265558011
BXD024_cep	19	chr5	1806	226502	34	228308	228342	0.9998511005421692
BXD024_cep	19	chr6	2102	244319	25	246421	246446	0.9998985578990935
BXD024_cep	19	chr7	601	351346	19	351947	351966	0.9999460175130552
BXD024_cep	19	chr8	2384	313331	12	315715	315727	0.9999619924808458
BXD024_cep	19	chr9	700	211962	8	212662	212670	0.9999623830347487
BXD024	20	chr1	2974	487520	34	490494	490528	0.9999306869332637
BXD024	20	chr10	720	168377	10	169097	169107	0.9999408658423365
BXD024	20	chr11	369	269892	9	270261	270270	0.9999666999667
BXD024	20	chr12	627	217048	9	217675	217684	0.9999586556660113
BXD024	20	chr13	1258	175821	20	177079	177099	0.9998870688146179
BXD024	20	chr14	1049	364353	22	365402	365424	0.9999397959630457
BXD024	20	chr15	957	149447	4	150404	150408	0.9999734056699112
BXD024	20	chr16	1011	131912	6	132923	132929	0.9999548631224188
BXD024	20	chr17	3271	206463	18	209734	209752	0.9999141843701133
BXD024	20	chr18	556	105973	9	106529	106538	0.9999155230997391
BXD024	20	chr19	202	136582	7	136784	136791	0.9999488270427148
BXD024	20	chr2	2327	371253	37	373580	373617	0.9999009681036998
BXD024	20	chr3	152	319630	17	319782	319799	0.9999468416098862
BXD024	20	chr4	1066	293511	14	294577	294591	0.999952476484346
BXD024	20	chr5	1939	226377	26	228316	228342	0.9998861357087176
BXD024	20	chr6	2024	244385	37	246409	246446	0.9998498656906584
BXD024	20	chr7	622	351320	24	351942	351966	0.9999318115954382
BXD024	20	chr8	2342	313358	27	315700	315727	0.999914483081903
BXD024	20	chr9	625	212036	9	212661	212670	0.9999576809140922
BXD027	22	chr1	2911	487593	24	490504	490528	0.9999510731293626
BXD027	22	chr10	535	168568	4	169103	169107	0.9999763463369346
BXD027	22	chr11	479	269779	12	270258	270270	0.9999555999555999
BXD027	22	chr12	576	217098	10	217674	217684	0.9999540618511237
BXD027	22	chr13	1326	175763	10	177089	177099	0.9999435344073089
BXD027	22	chr14	485	364912	27	365397	365424	0.9999261132273742
BXD027	22	chr15	1050	149349	9	150399	150408	0.9999401627573001
BXD027	22	chr16	738	132178	13	132916	132929	0.9999022034319073
BXD027	22	chr17	1575	208166	11	209741	209752	0.9999475571150692
BXD027	22	chr18	199	106326	13	106525	106538	0.9998779778107342
BXD027	22	chr19	646	136140	5	136786	136791	0.9999634478876535
BXD027	22	chr2	1513	372078	26	373591	373617	0.9999304100188161
BXD027	22	chr3	1368	318420	11	319788	319799	0.9999656033946323
BXD027	22	chr4	7717	286707	167	294424	294591	0.9994331123489856
BXD027	22	chr5	627	227703	12	228330	228342	0.9999474472501774
BXD027	22	chr6	1245	245185	16	246430	246446	0.9999350770554198
BXD027	22	chr7	605	351350	11	351955	351966	0.9999687469812425
BXD027	22	chr8	508	315197	22	315705	315727	0.9999303195482173
BXD027	22	chr9	102	212555	13	212657	212670	0.9999388724314666
BXD028	23	chr1	3801	486695	32	490496	490528	0.9999347641724835
BXD028	23	chr10	1252	167839	16	169091	169107	0.9999053853477384
BXD028	23	chr11	772	269487	11	270259	270270	0.9999592999593
BXD028	23	chr12	454	217219	11	217673	217684	0.999949468036236
BXD028	23	chr13	1247	175839	13	177086	177099	0.9999265947295016
BXD028	23	chr14	125	365282	17	365407	365424	0.9999534786987171
BXD028	23	chr15	1136	149264	8	150400	150408	0.9999468113398223
BXD028	23	chr16	356	132562	11	132918	132929	0.9999172490577677
BXD028	23	chr17	3495	206225	32	209720	209752	0.9998474388802013
BXD028	23	chr18	63	106471	4	106534	106538	0.9999624547109951
BXD028	23	chr19	197	136589	5	136786	136791	0.9999634478876535
BXD028	23	chr2	990	372608	19	373598	373617	0.999949145782981
BXD028	23	chr3	2257	317519	23	319776	319799	0.9999280798251402
BXD028	23	chr4	7731	286673	187	294404	294591	0.9993652216123371
BXD028	23	chr5	926	227402	14	228328	228342	0.9999386884585403
BXD028	23	chr6	473	245946	27	246419	246446	0.999890442531021
BXD028	23	chr7	1772	350173	21	351945	351966	0.9999403351460084
BXD028	23	chr8	264	315448	15	315712	315727	0.9999524906010573
BXD028	23	chr9	338	212320	12	212658	212670	0.999943574552123
BXD029	24	chr1	16160	474355	13	490515	490528	0.9999734979450714
BXD029	24	chr10	1428	167671	8	169099	169107	0.9999526926738692
BXD029	24	chr11	4915	265345	10	270260	270270	0.999962999963
BXD029	24	chr12	2311	215369	4	217680	217684	0.9999816247404495
BXD029	24	chr13	1154	175936	9	177090	177099	0.999949180966578
BXD029	24	chr14	11299	354096	29	365395	365424	0.9999206401331057
BXD029	24	chr15	1426	148974	8	150400	150408	0.9999468113398223
BXD029	24	chr16	3243	129668	18	132911	132929	0.9998645893672562
BXD029	24	chr17	1221	208514	17	209735	209752	0.9999189519051069
BXD029	24	chr18	452	106076	10	106528	106538	0.9999061367774879
BXD029	24	chr19	1045	135736	10	136781	136791	0.9999268957753068
BXD029	24	chr2	8374	365224	19	373598	373617	0.999949145782981
BXD029	24	chr3	1085	318701	13	319786	319799	0.9999593494663835
BXD029	24	chr4	13021	281418	152	294439	294591	0.9994840304014718
BXD029	24	chr5	4799	223518	25	228317	228342	0.9998905151045362
BXD029	24	chr6	7364	239061	21	246425	246446	0.9999147886352385
BXD029	24	chr7	4567	347387	12	351954	351966	0.999965905797719
